OBJECTID,GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
11,60,Bridgeport,33694,31977,33702,13339,2.523802384,32863.15574,1622.442623,4745.065574,8914.360656,6260.754098,6369.254098,3105.409836,1143.336066,702.5327869,37.4904653,11630.87705,6857.92623,735.4590164,13303.89344,335,32824.06847,27631.54515,18306.49717,17052.17194,1248.325225,9325.047984,16719.5918,854.5154948,15865.07631,7918.918694,2597.75075,3831.381539,1103.175275,413.85005,460356.7627,2574.636364,5957.477948,3339.558956,1021.311431,24356.43443,4664.942623,6331.008197,3484.352459,965.3032787,5704.819672,3206.008197,2745.624822,2566.630528,2402.50214,1716.988588,1904.453638,1555.955777,58670.10682,31668.72483,12892.15549,6309.664456,6583.464191,880.4864479,13773.65119,3933.872679,464.7612732,3864.041114,3402.612732,1172.801061,168,767.5623342,0,5.423974579,2181.65252,1901.867374,2026.030504,7664.100796,1934.929117,1955.462865,5288.464191,4653.5,1283.224138,593,488.78602,2049.159772,2687.592011,1049.496434,337406.972,6322.378031,97,2690.854494,2654.25107,839.764622,40.50784593,1066.264189,11775.73324,968.0370899,1116.422254,11606.07561,11328.07561,1286.079886,13960,Accommodation and Food Service,Health Care,Education,Professional,Retail Trade,2049,1652,1321,1211,1158,5190,Manufacturing,Retail Trade,Accommodation and Food Service,Finance,Wholesale Trade,1738,512,495,423,412,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,4130,2885,1202,1039,732,Outside of Chicago,Bridgeport,Brighton Park,New City,McKinley Park,2011,601,177,152,126,,,,11018.0211,,,,,,,,,,0,0,1,0,0,1,1.952610297,1338.189151,252.1736543,0.188443954,224.8158259,0.168000036,31.18601953,0.023304642,63.02930344,0.047100444,32.91951097,0.024600043,131.3629372,0.098164701,488.2384539,0.364850106,0,0,47.65808483,0.035613863,66.80536077,0.049922211,4177.912981,3882.393723,2344.924394,2486.924394,7234.510699,814.5934379,5657.644793,1945.879388,22,52,1871.879388,3021.70477,240.5949595,809,1972.109811,2352.609361,802.2034203,977.8649865,572.5409541,5117.682268,3855.0036,943.5022502,319.1764176,21405.52816,11457.95435,31240.83672,16767.55615,8681.509164,14473.28057,4229.03099,223.685105,10355.78474,157.5351549,148,215,437.895035,949.625125,51,13819,10165,354,8808,548,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.405510907,0.793971483,0.098209715,0,0.084343407,1,1,0.501616496
12,58,Brighton Park,44912,45368,45053,13592,3.313566804,42728,3068,10329,10584,7765,7031,2548,1064,339,31.175095,3163,34130,579,4517,339,42713,31897,20086,17925,2143,11811,17104,526,16578,9363,3210,3240,611,154,542560,1770,4991,3885,1674,25981,8823,9727,3317,1178,2120,816,2920,3812,2202,1450,1297,639,45781.71091,18312.79428,12320,6170,6150,1239,13559,3691,353,6189,2729,490,33,45,29,5.460756562,482,1541,4053,7483,1935.299345,919,5908,4790,1448,494,1405,3953,647,142,195701.0582,5883,307,3698,1703,175,0,874.8424842,10764,1869,1556,10261,9832,2059,13468,Accommodation and Food Service,Manufacturing,Health Care,Retail Trade,Administration,1898,1832,1456,1448,1394,5627,Manufacturing,Administration,Retail Trade,Other Service,Accommodation and Food Service,1449,862,810,599,544,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4990,1661,900,894,573,Outside of Chicago,Brighton Park,Gage Park,South Lawndale,Chicago Lawn,2398,573,214,183,150,,,,13023.52181,,,,,,,,,,0,0,1,0,0.069713135,0.930286865,0.910937307,1742.258739,245.6076621,0.140970831,305.0298099,0.175077216,27.1091908,0.015559796,80.99864575,0.046490595,44.6954188,0.025653721,266.3241464,0.152861421,689.4479219,0.395720743,0,0,8.008546087,0.004596646,75.03739694,0.043069032,2033,2534,2540,5213,9725,1652,2595,1582,7,50,1525,4810,562,1344,2904,2192,1198,476,518,3289,2664,505,120,25212,17516,39660,33278,16535,6382,28567,117,3935,113,116,0,57,186,187,8300,34409,221,1288,694,,,,,,,,,,,,,,,,,,,,,,,,,0.941762712,0.836682028,0.158346484,0.744759653,0,0,0.104975607,1,1,0.443580449
13,47,Burnside,3294,2916,2527,1036,2.439189189,2180,19,248,365,457,481,295,236,79,50.02293578,55,156,1938,0,31,2180,1936,1092,918,174,844,918,75,843,576,71,196,0,0,38490,302,250,377,63,1721,244,619,387,96,205,170,311,324,108,52,116,81,39351.85185,26586.8078,992,552,440,309,1301,758,69,198,43,15,9,190,19,6.298672566,284,110,465,442,1954.348315,246,361,383,249,62,370,107,0,75,102597.4026,440,112,250,78,0,0,703.2846715,761,104,231,716,702,276,826,Health Care,Administration,Retail Trade,Transportation,Education,179,92,83,75,67,1855,Transportation,Manufacturing,Health Care,Retail Trade,Wholesale Trade,1088,472,139,91,33,Outside of Chicago,The Loop,Near North Side,Near West Side,Chatham,307,174,60,45,17,Outside of Chicago,South Shore,Roseland,Auburn Gresham,Chatham,793,79,68,63,54,,,,12592.972,,,,,,,,,,0,0,1,0,0,1,1.001540702,390.1740818,66.84952497,0.171332562,13.70811132,0.035133321,1.649768543,0.004228288,14.6036423,0.03742853,7.372730827,0.018896004,120.1776477,0.30801033,126.8290663,0.32505764,0,0,7.019952161,0.017991846,31.96363767,0.081921479,472,224,110,186,477,89,515,238,0,61,177,390,135,153,102,108,41,67,0,249,147,102,0,2030,150,2161,202,51,1959,88,0,0,0,0,0,0,69,45,40,34,3180,7,33,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.273678094,0.821181888,0,0,0.25506047,1,1,0.37254902
14,48,Calumet Heights,15974,13812,13088,5518,2.371692642,12343,377,1631,2295,1978,2621,1764,1175,502,49.43205394,108,543,11533,8,151,12337,10793,6033,5604,429,4760,5519,917,4602,3051,403,1053,62,33,189165,1040,2430,1523,463,9630,550,2250,2670,738,2144,1278,1299,1127,849,587,1094,500,57420.14742,35883.58973,5456,3948,1508,820,6276,4537,52,538,736,166,128,25,94,6.549850746,73,304,4407,1492,1949.231632,267,1848,3133,881,147,1108,2702,130,8,177249.1349,1427,82,473,702,170,0,1078.001969,4787,657,669,4685,4608,771,4906,Health Care,Education,Public Administration,Administration,Retail Trade,894,647,456,454,408,2101,Health Care,Retail Trade,Accommodation and Food Service,Transportation,Administration,1386,221,99,67,66,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1545,1377,384,317,128,Outside of Chicago,South Shore,Calumet Heights,South Chicago,East Side,1320,50,33,30,28,,,,12905.58982,,,,,,,,,,0,0,1,0,0,1,1.4765814,1120.896268,435.2835689,0.388335282,49.31579163,0.043996749,4.074861069,0.00363536,36.92359051,0.032941131,29.82233743,0.026605796,12.35702552,0.011024236,462.0797016,0.41224127,0,0,21.47957717,0.019162859,69.55981433,0.062057316,2193,1845,783,635,3005,454,2451,852,0,0,852,1441,330,292,819,822,280,407,135,2147,1855,168,124,11939,404,11966,671,255,11295,460,1,8,0,0,0,0,174,28,206,747,14817,33,171,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.431983385,0.799535828,0,0,0.133898666,1,1,0.441203117
15,44,Chatham,37275,31028,31710,15053,2.106423969,31395.31764,1702.585794,5466.790902,6108.783719,5136.229848,7464.155626,2877.845172,1606.868316,1032.05826,42.30225418,269,271,30285.31764,77,493,31362.63218,26208.32788,14867.69487,12371.60545,2477.089423,11340.63301,12257.02244,1248.719231,11008.30321,6668.380128,681.3567308,3202.441026,293,163.1253205,418054.3429,4778.446048,6397.466258,2457.287261,753.5229159,22418.21947,2642.28332,5612.57063,6351.818037,1587.596967,4068.861133,2155.089385,5180.747126,3431.095785,2364.490421,1348.268199,1489.563218,573.1455939,39858.57561,25790.28123,14387.31034,5786.347079,8598.972509,2504.678161,16889.61856,5279.955326,940.7560137,1636,3560.649485,3448,1326.61512,697.6426117,0,5.609176498,602.6494845,1677.917526,7964.168385,6644.883162,1946.732674,4189.945017,5726.52921,5110.058419,1531.852234,331.233677,2045.340996,3216.590038,263.4904215,253,167845.0475,8489.888889,751,5305.045977,2124.842912,309,0,860.0558919,12285.17625,2809,2102.1341,10717.17625,10368.17625,3670.1341,10384,Health Care,Administration,Education,Accommodation and Food Service,Transportation,1979,1230,1167,904,872,3959,Retail Trade,Other Service,Transportation,Accommodation and Food Service,Health Care,1575,625,418,416,271,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,3063,2496,965,730,225,Outside of Chicago,Chatham,Auburn Gresham,Roseland,South Shore,2049,145,109,100,94,,,,9750.651981,,,,,,,,,,0,0,1,0,0,1,1.748514107,1889.822557,527.388086,0.279067516,255.4796976,0.135187135,17.63423703,0.00933116,179.3835345,0.094920835,69.80064131,0.036935024,48.5899641,0.02571139,684.3789153,0.362139246,0,0,41.72257815,0.022077511,65.44490299,0.034630184,7190.122605,3659.590038,1624,1913.597701,6430.187739,1827.333333,7957.122605,4002.684951,37,240,3725.684951,4062.283291,622.0104655,1405.866113,2034.406712,2339.514977,1233.183688,777.1548178,329.1764706,3411.712378,2683.850235,687.4218694,40.44027427,30988.84199,408.4522436,29696.45545,1034.397436,132.4740385,28662.05801,630.1798077,2.005448718,8.762820513,0,0,0.337820513,0.228846154,234.3650641,158.5176282,121,220,36538,24,372,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.348501608,0.712717827,0.155160895,0,0.0850179,1,1,0.442645595
16,66,Chicago Lawn,61412,55628,55931,17041,3.280558653,51243,4157,11207,11991,9812,7400,3763,2453,460,32.6517204,1247,28387,20369,246,994,51079,38871,23696,19660,4023,15175,19015,653,18362,11294,3353,3172,338,205,699000,4124,6576,3840,2105,31911,8087,12866,6323,1952,1813,870,5706,4815,2716,1537,1287,584,36277.83964,17620.09125,16645,7207,9438,2301,18946,7860,196,4358,3858,1465,586,596,27,5.615638041,333,2638,9874,6101,1952.109827,2712,7369,5660,1999,1206,3040,3991,68,108,158690.6231,9292,1090,4689,2875,616,22,893.206951,13654,2673,2991,13107,12727,3538,17161,Health Care,Administration,Manufacturing,Accommodation and Food Service,Retail Trade,2405,2059,1895,1884,1742,4129,Retail Trade,Health Care,Accommodation and Food Service,Other Service,Administration,1371,1340,392,235,147,Outside of Chicago,The Loop,Near North Side,Near West Side,West Lawn,7387,2366,1011,936,363,Outside of Chicago,Chicago Lawn,West Lawn,Ashburn,Auburn Gresham,1900,291,135,118,95,,,,12078.75032,,,,,,,,,,0,0,1,0,0.000150605,0.999849395,1.479580829,2256.186073,671.5307806,0.297639804,255.6943511,0.113330347,33.52140096,0.014857552,105.0676023,0.046568678,65.52999569,0.029044588,57.52166393,0.025495089,706.4593639,0.313121055,0,0,308.4198017,0.13669963,52.44111317,0.023243257,5336,3578,2649,5082,10893,2463,5752,3348,139,247,2962,6762,688,1464,4610,2696,1353,827,516,3408,2822,519,67,38617,12626,47086,24509,10688,22577,23862,19,18,174,36,0,31,274,95,6190,21534,32240,393,1055,,,,,,,,,,,,,,,,,,,,,,,,,0.999946663,0.998292058,0.14524772,0.753484231,0,0,0.087825592,1,1,0.395266895
17,64,Clearing,22331,23139,24473,8884,2.754502476,24382,1575,5015,5188,5201,4581,1597,731,494,36.08970976,9510,13878,621,145,228,24370,18886,12316,11010,1306,6570,10786,276,10510,7925,840,1100,486,159,338535,885,3314,3133,1322,16530,2009,5806,3605,1527,2803,780,1434,2242,1818,885,1495,780,58168.13049,27582.04475,8654,5995,2659,418,9072,5327,625,690,835,1237,220,108,30,5.619364599,316,1914,5816,1026,1958.343353,1065,2448,4219,858,482,1044,4018,845,75,225771.8967,2554,27,1122,971,417,17,1046.176046,7565,824,1089,7467,7299,1187,10538,Education,Health Care,Public Administration,Manufacturing,Retail Trade,1162,1139,1041,981,953,3132,Manufacturing,Construction,Administration,Accommodation and Food Service,Retail Trade,689,654,424,356,256,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,4478,2439,584,508,303,Outside of Chicago,Clearing,Garfield Ridge,Chicago Lawn,Brighton Park,2075,195,71,69,53,,,,16020.96993,,,,,,,,,,0,0,1,0,0.013322206,0.986677794,1.914385712,1633.26891,516.7345597,0.316380577,77.12042185,0.047218447,10.4435909,0.006394287,44.851516,0.027461195,19.45785105,0.01191344,131.3165291,0.080401046,783.7466008,0.479863785,0,0,34.88307157,0.021357825,14.71476932,0.009009398,2532,2065,1251,2806,5775,696,2879,1020,7,63,950,2465,409,751,1305,1818,698,427,693,3108,2495,514,99,19576,4806,22807,11978,4104,10829,10307,1351,0,0,40,24,31,225,0,17047,4688,137,152,307,,,,,,,,,,,,,,,,,,,,,,,,,1,0.943423471,0.309134906,0.771142285,0.141194171,0,0.139583181,1,1,0.25050992
18,35,Douglas,26470,18238,20291,9878,1.871228994,21450,1146,3500,6977,3058,3279,2000,922,568,32.59378349,2270,1152,13964,3121,943,18958,18293,9961,8589,1372,8332,8244,818,7426,3293,467,2539,777,350,243180,4266,4565,1161,148,14361,1593,2344,3342,896,3245,2941,4060,1865,1900,758,921,636,35796.1165,28546.88932,10140,1783,8357,1012,11152,646,712,292,476,344,321,8361,0,4.110272399,1202,3124,5133,1693,1962.642731,5390,3517,1489,567,189,342,782,445,214,244769.5035,8219,1989,1647,3103,1444,36,1059.664819,9051,1569,1089,8579,8292,1561,7102,Health Care,Education,Administration,Professional,Accommodation and Food Service,1208,828,724,696,617,6709,Education,Administration,Health Care,Retail Trade,Accommodation and Food Service,2349,938,808,750,627,The Loop,Outside of Chicago,Near North Side,Near West Side,Douglas,1975,1711,785,644,186,Outside of Chicago,Douglas,South Shore,Auburn Gresham,Near North Side,2564,186,183,137,127,,,,7165.906979,,,,,,,,,,0,0,1,0,0,1,8.690265676,1052.858836,70.76787743,0.067214972,167.930677,0.159499708,3.381948599,0.003212158,50.29866033,0.047773413,190.2950571,0.180741283,1.215505484,0.001154481,334.0062996,0.317237495,0,0,109.3345115,0.103845366,125.6282985,0.119321123,5658,2761,1007,714,3610,989,6530,2885,187,440,2258,2227,304,452,1471,1882,314,1024,544,2292,1606,585,101,16713,4737,20304,4946,1827,15358,702,177,1179,50,140,136,480,1433,649,1745,295,22635,1390,405,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.493141146,0.672750488,1,0.125616786,0.072543927,1,1,0.558102863
19,17,Dunning,42164,41932,43147,15746,2.72837546,43587,2020,7780,7550,9269,9641,4078,2343,906,42.66814304,26028,14005,909,2207,438,43369,36186,24106,22999,1052,12080,22487,736,21751,16881,2057,1827,336,650,799060,956,6044,6143,2743,31739,3441,10094,7474,2412,5517,2801,2492,2696,2801,2483,3145,2269,74525.7732,33822.48294,15886,12265,3621,986,16872,10920,338,1639,971,1257,267,1417,63,5.870117188,1057,3335,8173,4307,1953.605424,1989,5740,6138,2138,867,946,7430,3718,166,267202.1028,3310,97,1246,1153,771,43,1101.5625,14042,1065,1844,12993,12443,2893,20094,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,2468,2124,1907,1881,1596,5394,Health Care,Retail Trade,Education,Administration,Accommodation and Food Service,919,825,651,540,448,Outside of Chicago,The Loop,Near North Side,Near West Side,Dunning,10232,3353,857,746,529,Outside of Chicago,Dunning,Portage Park,Belmont Cragin,Norwood Park,2570,529,181,126,98,,,,14750.45236,,,,,,,,,,0,0,1,0,0.015763136,0.984236864,1.048829699,2378.213985,1011.937715,0.425503223,138.3096737,0.058156951,21.70350723,0.009125969,67.24701896,0.028276269,357.9373697,0.150506797,29.32479114,0.012330594,641.2899502,0.269651913,0.085958142,3.61E-05,73.33341168,0.030835498,37.04458872,0.015576642,4459,4510,2784,4133,10840,766,5046,1700,111,94,1495,3261,473,954,1834,2775,1086,702,987,7777,5167,2032,578,29980,13607,41567,20973,8364,20594,9191,7926,37,1220,459,38,101,1720,281,34394,5441,234,1315,780,,,,,,,,,,,,,,,,,,,,,,,,,0.982360533,0.997059784,0.338069882,0.830952381,0,0,0.095425467,1,1,0.220394005
20,27,East Garfield Park,20881,20567,19992,7828,2.501149719,18075,1393,3925,4316,3470,2991,1089,733,158,32.43991416,1074,863,15340,159,639,17191,13590,7447,6034,1413,6143,5955,146,5809,2931,685,1819,331,43,202405,3257,2566,768,264,11360,2362,3348,2771,742,1332,805,3564,1493,674,370,454,300,23066.57224,16138.4229,6855,1630,5225,1378,8233,671,354,2266,2562,860,349,1160,11,5.263896533,1134,1926,1292,3881,1944.835729,1875,2506,2936,748,168,381,1001,194,54,204101.5625,4974,1028,1742,1731,466,7,928.7153652,5574,1324,1281,4982,4545,1873,7447,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,1373,932,747,726,662,4771,Health Care,Accommodation and Food Service,Administration,Professional,Construction,894,837,609,513,512,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,2775,1224,555,526,234,Outside of Chicago,Austin,East Garfield Park,Lake View,North Lawndale,2174,167,125,91,85,,,,8465.804858,,,,,,,,,,0,0,1,0,0,1,4.078614992,1236.988524,58.39660648,0.047208689,208.3553489,0.168437576,8.869576854,0.007170298,38.51302001,0.031134501,82.51384184,0.066705422,75.21114092,0.06080181,412.0178378,0.333081375,0,0,183.1719649,0.148078953,169.9391858,0.137381376,2854,1597,1081,1323,3827,1502,3028,2659,144,253,2262,1815,185,352,1278,654,199,302,153,1078,692,273,113,17703,372,16682,803,211,15879,499,36,17,18,8,90,34,39,62,235,207,20296,25,118,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.253433099,0.656676255,0.597806143,0,0.108910306,1,1,0.500587741
21,52,East Side,23653,23042,21724,7004,3.100371216,22923.79466,1826.107041,5375.619786,4777.5426,4257.878414,3847.272113,1851.056331,676.0824551,312.2359172,33.32199646,2950.965891,19452.44734,407.4014388,70.97998976,42,22958.89954,16994.49149,10193.06787,9362.452778,830.6150895,6801.423622,9301.704278,364.1492211,8937.555057,6541.187956,1079.577005,1088.777005,158.3952802,69.61780981,338947.6271,741.7692276,2548.540657,2593.83997,1087.241625,13903.83984,3845.693494,5010.322828,2224.844112,1114.6875,1261.316385,446.9755254,1256.333672,2098.961777,1186.184686,1078.448462,1030.575154,321.6766913,52003.37755,21933.7836,6972.180443,4930.803689,2041.643562,810.8228782,7783.276433,5063.624301,189.2206551,1607.759895,669.7142857,201,46,0,5.957295374,6.263340172,111.9430605,468.6333358,3830.274995,3372.425042,1942.689611,271,2141.926153,3890.977645,1243.486513,235.886121,3374.62949,1347.999662,96,111.9483395,127253.7681,1861.661993,173,1014.560732,444.4491082,229.6521525,0,850.4032798,6229.033241,1012.849139,743.1472017,6003.357964,5878.357964,968.8224785,7749,Manufacturing,Health Care,Accommodation and Food Service,Education,Retail Trade,999,964,795,738,722,1566,Administration,Transportation,Accommodation and Food Service,Construction,Retail Trade,332,328,189,124,103,Outside of Chicago,The Loop,Near North Side,Near West Side,East Side,3410,1296,398,324,292,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,840,292,72,53,27,,,,17741.99071,,,,,,,,,,0,0.084515388,0.915484612,0.009936618,0.271682682,0.718380699,7.558864835,1908.480788,464.7907269,0.243539642,81.5054155,0.042706961,11.67332526,0.006116554,59.77291671,0.031319632,99.80606186,0.052296079,148.8741348,0.07800662,758.8444898,0.397617044,0,0,187.3059253,0.098143993,95.90779159,0.050253475,1342.343204,1803.1123,1319.002952,2507.721986,5247.043881,1070.910301,1725.136562,788.2389646,14.88929889,81.9245457,691.4251201,2446.768403,455.3073559,766.5623611,1224.898686,1126.90501,634.7445924,274.4545282,217.7058897,2386.688837,2156.008946,188.7010412,41.97884997,17240.70288,5674.846408,21089.68347,14994.69077,5162.500372,6094.992699,14456.89061,437.1153685,0,0,24,0,24.88235294,50.80244129,1,6951,16113,242,57,290,,,,,,,,,,,,,,,,,,,,,,,,,0.715264493,0.753791709,0.203058654,0.734630321,0.681720015,0.204348801,0.178516158,0.942074776,0.631806396,0.289290912
22,77,Edgewater,62198,56521,56296,30466,1.748342414,58693,2509,6097,18558,12646,10138,4797,2504,1444,37.07107611,31412,9323,7781,8059,2118,55239,52661,36648,34594,2021,16013,34166,3728,30438,11832,1751,13849,2374,632,1146190,11150,12974,3867,899,45509,4173,6228,6560,2387,14339,11822,6109,6512,4977,3020,3979,4293,58283.37875,42485.67865,28890,10244,18646,3040,31930,2275,318,1929,3038,4495,2280,17594,1,4.340659341,1114,6375,10259,14182,1946.193123,16767,9659,3908,1205,391,1697,4089,2247,2062,272829.2862,18240,1449,5638,6579,4238,336,1128.703469,27106,1633,1784,26193,24319,2697,26540,Professional,Health Care,Accommodation and Food Service,Education,Retail Trade,3553,3390,2811,2811,2152,7057,Accommodation and Food Service,Retail Trade,Health Care,Other Service,Education,1367,1363,881,573,501,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8356,5852,3350,1720,937,Outside of Chicago,Edgewater,West Ridge,Rogers Park,Uptown,2461,937,361,339,287,,,,7090.571132,,,,,,,,,,0,0,1,0,0,1,1.735746386,1111.664633,148.4201459,0.13351162,354.6789382,0.319052102,24.64272409,0.022167409,78.90738089,0.070981282,65.5106467,0.058930225,6.569742345,0.005909824,355.8149179,0.320073975,0,0,73.37778286,0.066007122,3.742354519,0.003366442,14204,9473,2753,2460,10504,1012,18386,4258,98,575,3585,7601,557,1859,5185,4888,1052,2200,1636,11260,7592,3042,626,42328,16365,56184,20239,8900,35945,7433,2931,1099,805,530,121,1658,4336,1326,29782,12176,10564,7172,2504,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.627304489,0.831986841,0,0,0.026945185,1,1,0.635192882
23,9,Edison Park,11328,11187,11525,4733,2.434819353,11002,969,1518,2076,2223,2519,853,572,272,41.2605042,9101,1086,46,282,487,10996,8742,6411,6295,116,2331,6135,391,5744,4795,96,745,101,7,187285,338,1521,1858,744,8069,351,1715,1611,395,2677,1320,475,448,404,612,887,1635,113960.728,61123.82167,4461,3636,825,325,4786,3254,151,126,280,624,136,215,0,6.424603175,108,467,3003,1208,1953.773041,376,1477,1648,1008,277,157,789,1818,863,393986.9989,815,0,196,316,278,25,1300.572519,3986,138,475,3807,3747,654,6163,Education,Public Administration,Health Care,Professional,Retail Trade,869,850,683,507,489,2375,Administration,Professional,Accommodation and Food Service,Health Care,Education,812,327,215,183,130,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,3078,1557,266,203,145,Outside of Chicago,Edison Park,Norwood Park,Austin,Dunning,1343,134,87,53,47,,,,16958.38739,,,,,,,,,,0,0,1,0,0,1,2.053389658,726.2698244,378.9166554,0.521729862,40.1414143,0.055270662,6.084431711,0.008377646,23.77620021,0.03273742,10.74289276,0.014791875,8.989091265,0.012377068,236.621002,0.325803158,0,0,20.23249971,0.027858103,0.765636962,0.001054205,1404,1293,758,1006,2905,155,1556,409,0,13,396,490,81,71,338,404,109,170,125,3134,2248,738,148,10009,993,10033,1310,337,8723,461,457,0,0,27,0,4,346,15,10572,463,19,200,74,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.544305366,0.886916984,0,0,0.093364872,1,1,0.217277914
