GEOID,GEOG,WHITE,HISP,BLACK,ASIAN,OTHER,total_pops,,Black > .5,,Black < .5,
50,Pullman,0.120179498,0.043051465,0.803814332,7.01E-04,0.032253541,7131,,1,0.803814332,0,0
54,Riverdale,0.009711357,0.036552468,0.953736175,0,0,7414,,1,0.953736175,0,0
1,Rogers Park,0.442894883,0.189367935,0.270636019,0.054238628,0.042862534,55643,,0,0,1,0.270636019
49,Roseland,0.015344623,0.013148929,0.953082805,0.002675214,0.015748429,39623,,1,0.953082805,0,0
46,South Chicago,0.028588585,0.206224772,0.75274377,0.003802916,0.008639957,29977,,1,0.75274377,0,0
51,South Deering,0.049722662,0.309693608,0.636951928,0,0.003631801,15144,,1,0.636951928,0,0
30,South Lawndale,0.055300064,0.807987471,0.129607745,0.003701858,0.003402862,70235,,0,0,1,0.129607745
43,South Shore,0.030223739,0.025995449,0.926734926,0.003128555,0.01391733,52740,,1,0.926734926,0,0
32,The Loop,0.58977293,0.095634043,0.07079106,0.21072037,0.033081598,39327,,0,0,1,0.07079106
3,Uptown,0.531697307,0.149883101,0.180848738,0.103829916,0.033740938,59453,,0,0,1,0.180848738
73,Washington Heights,0.016740906,0.014587973,0.954788419,0.001744618,0.012138085,26940,,1,0.954788419,0,0
40,Washington Park,0.018317829,0.022345833,0.916754579,0,0.042581759,10427,,1,0.916754579,0,0
62,West Elsdon,0.147060411,0.817038277,0.006748367,0.027695298,0.001457647,18523,,0,0,1,0.006748367
67,West Englewood,0.015024084,0.09587889,0.869064913,7.65E-04,0.019267528,26158,,1,0.869064913,0,0
26,West Garfield Park,0.0276548,0.034811086,0.924131239,1.82E-04,0.013220935,16489,,1,0.924131239,0,0
65,West Lawn,0.118742616,0.850817735,0.024905168,0.002269759,0.003264722,32162,,0,0,1,0.024905168
53,West Pullman,0.008797765,0.068531944,0.90205407,0,0.020616221,26484,,1,0.90205407,0,0
2,West Ridge,0.420540101,0.196970659,0.11637444,0.210200221,0.055914579,78763,,0,0,1,0.11637444
24,West Town,0.631891233,0.210121155,0.062366024,0.053921859,0.041699729,84437,,0,0,1,0.062366024
42,Woodlawn,0.081681628,0.028975202,0.822593547,0.034041419,0.032708204,22502,,1,0.822593547,0,0
,,,,,,,,,28,0.855698972,49,0.09142051
